payment_id,fraud_probability,amount,hashed_consumer_id
9762,0.9977155,7980,consumer_3299
8164,0.99777955,7980,consumer_1616
7380,0.9977155,8500,consumer_1754
2126,0.99585694,8800,consumer_3298
10074,0.9977596,8800,consumer_3305
9749,0.9969637,8450,consumer_1955
9704,0.99777955,8800,consumer_1652
10091,0.99777955,8400,consumer_2330
