payment_id,fraud_probability,amount,hashed_consumer_id
7378,0.6439001,7980,consumer_5747
9533,0.63718784,5970,consumer_5824
10058,0.7671002,8900,consumer_5837
10059,0.7671002,8900,consumer_5841
10061,0.787391,8400,consumer_5845
10062,0.7601762,9720,consumer_5847
10057,0.76941174,9025,consumer_5850
10056,0.7657352,9025,consumer_5855
10066,0.6731354,7800,consumer_5865
7372,0.62708634,8980,consumer_5869
10072,0.6822232,8500,consumer_5879
7373,0.62708634,8980,consumer_5880
7371,0.62708634,9082,consumer_5886
10067,0.6799994,7980,consumer_5890
7370,0.6198705,10500,consumer_5894
7367,0.6198705,10800,consumer_5899
10071,0.6799994,8500,consumer_5902
10073,0.6821555,7980,consumer_5907
7374,0.6198705,11500,consumer_5910
10068,0.658863,8930,consumer_5913
10069,0.6564824,9500,consumer_5920
10070,0.65192074,9500,consumer_5924
3386,0.61019534,3940,consumer_5937
7368,0.62717175,10800,consumer_5963
7364,0.62717175,11000,consumer_5967
7365,0.62948984,11400,consumer_5972
7366,0.63433075,9010,consumer_5993
9768,0.64734304,7500,consumer_5996
9769,0.65596163,8700,consumer_6003
9728,0.6529674,8000,consumer_6005
10065,0.67680013,8730,consumer_6029
10060,0.76211697,8000,consumer_6030
9774,0.78713506,11980,consumer_6040
9775,0.7833172,13800,consumer_6045
9780,0.77866477,12938,consumer_6055
9781,0.7834961,13960,consumer_6063
9782,0.78254193,13960,consumer_6075
9771,0.7834961,15960,consumer_6082
9783,0.7834961,15000,consumer_6086
9784,0.78461224,15000,consumer_6099
8203,0.78461224,9400,consumer_6104
8213,0.7884135,9560,consumer_6108
3184,0.76391315,9500,consumer_6121
3185,0.78453726,12350,consumer_6122
3174,0.7778507,7500,consumer_6132
3173,0.7821205,12100,consumer_6139
3574,0.6945464,5100,consumer_6147
3179,0.7601762,9500,consumer_6148
3176,0.7601762,12000,consumer_6163
3175,0.78713506,11400,consumer_6164
9064,0.5981105,9500,consumer_6169
9065,0.61342365,7125,consumer_6169
3169,0.78219616,12800,consumer_6174
2491,0.76509994,24200,consumer_6175
9767,0.7394646,9200,consumer_6178
3165,0.77866477,12440,consumer_6183
3181,0.7799799,12350,consumer_6189
3172,0.77866477,10900,consumer_6192
3166,0.7601762,9500,consumer_6196
9701,0.7394646,9500,consumer_6199
3180,0.787391,7980,consumer_6201
3177,0.7601762,10000,consumer_6203
7389,0.7394646,9500,consumer_6212
9773,0.77866477,15000,consumer_6214
9063,0.7560017,6650,consumer_6215
9068,0.6086165,4750,consumer_6215
9066,0.6086165,2850,consumer_6215
9071,0.6086165,3800,consumer_6215
9067,0.6086165,3000,consumer_6215
3191,0.787391,7980,consumer_6217
7383,0.76509994,9500,consumer_6220
9729,0.7799799,10900,consumer_6224
10104,0.7394646,9523,consumer_6225
3182,0.787391,7980,consumer_6226
10340,0.74867445,4000,consumer_6232
9070,0.6086165,3000,consumer_6238
9069,0.6086165,3000,consumer_6238
9731,0.7834961,12600,consumer_6243
3171,0.7601762,12000,consumer_6244
3190,0.787391,7980,consumer_6249
3183,0.79082054,7990,consumer_6256
3189,0.76391315,12240,consumer_6261
8204,0.7833172,9700,consumer_6268
3170,0.8086618,7990,consumer_6276
9730,0.78461224,11400,consumer_6297
3186,0.7834208,9500,consumer_6300
3188,0.8071212,7990,consumer_6307
3187,0.7834208,9200,consumer_6317
9777,0.78602844,12940,consumer_6338
9778,0.78254193,12600,consumer_6346
3168,0.77858835,12600,consumer_6353
9779,0.78602844,13000,consumer_6357
9772,0.77866477,13960,consumer_6365
3178,0.78453726,12000,consumer_6368
3167,0.7834208,13000,consumer_6375
12073,0.5086539,16000,consumer_6388
8210,0.7897615,9000,consumer_6427
9776,0.7884135,15000,consumer_6433
8205,0.78713506,9900,consumer_6434
8206,0.7833172,9500,consumer_6447
8207,0.78713506,9800,consumer_6450
8208,0.78461224,9500,consumer_6459
8211,0.7910246,8900,consumer_6475
8212,0.78461224,9500,consumer_6476
9770,0.7833172,9500,consumer_6484
8209,0.7833172,9900,consumer_6498
13051,0.6783818,8180,consumer_6523
7288,0.6302497,7250,consumer_6557
2926,0.60334086,5970,consumer_6620
1669,0.5834468,25000,consumer_6657
10450,0.60334086,6048,consumer_6665
1712,0.6014645,1200,consumer_6667
7356,0.65491927,10000,consumer_6695
7357,0.7341901,12000,consumer_6697
2142,0.7612893,9200,consumer_6700
2143,0.7612893,9500,consumer_6707
3162,0.76683044,9000,consumer_6719
8130,0.62948984,10874,consumer_6733
8131,0.6318746,10560,consumer_6734
8132,0.62948984,9241,consumer_6746
8129,0.62717175,9241,consumer_6750
3163,0.76501423,9300,consumer_6809
1873,0.6822232,8000,consumer_6815
7355,0.658863,9000,consumer_6816
7354,0.6822232,8500,consumer_6818
2141,0.70518345,8800,consumer_6828
4006,0.6087618,3040,consumer_6830
8218,0.6198705,13980,consumer_6832
3894,0.5908956,80000,consumer_6880
3893,0.5854118,80000,consumer_6880
3161,0.7829547,8800,consumer_6889
7382,0.7601762,10000,consumer_6898
7386,0.791909,8000,consumer_6911
7384,0.7798274,7900,consumer_6922
7387,0.7798274,7900,consumer_6923
7385,0.7798274,7900,consumer_6925
7388,0.7952713,7790,consumer_6946
10050,0.79744923,8800,consumer_6980
3164,0.80808115,8800,consumer_6997
10098,0.7899494,9200,consumer_7003
8168,0.81460965,8600,consumer_7008
10049,0.77990377,9500,consumer_7019
5279,0.53581953,6175,consumer_7026
9550,0.6086165,3600,consumer_7048
7395,0.79082054,8000,consumer_7050
3892,0.5835547,80000,consumer_7099
7349,0.77866477,10900,consumer_7129
1175,0.7677788,3488,consumer_7184
1225,0.6086165,600,consumer_7218
10384,0.5835547,75050,consumer_775
10382,0.5854118,75050,consumer_775
3719,0.55801904,24450,consumer_972
3720,0.55801904,24450,consumer_972
3718,0.55801904,24450,consumer_972
